"spkid","full_name","pha","epoch","e","a","i","om","w","ma","per"
20000433,"   433 Eros (A898 PA)",N,2460600.5,0.2227,1.458,10.83,304.27,178.91,86.67,643
20000719,"   719 Albert (A911 TB)",N,2460600.5,0.5468,2.636,11.58,183.86,156.22,148.45,1.56e+03
20000887,"   887 Alinda (A918 AA)",N,2460600.5,0.5711,2.473,9.40,110.42,350.47,340.20,1.42e+03
20001036,"  1036 Ganymed (A924 UB)",N,2460600.5,0.5328,2.665,26.69,215.49,132.50,6.98,1.59e+03
20001221,"  1221 Amor (1932 EA1)",N,2460600.5,0.4347,1.92,11.87,171.26,26.72,271.70,972
20001566,"  1566 Icarus (1949 MA)",Y,2460600.5,0.8270,1.078,22.80,87.95,31.43,160.86,409
20001580,"  1580 Betulia (1950 KA)",N,2460600.5,0.4876,2.195,52.19,62.23,159.73,319.03,1.19e+03
20001620,"  1620 Geographos (1951 RA)",Y,2460600.5,0.3356,1.246,13.34,337.15,277.01,289.36,508
20001627,"  1627 Ivar (1929 SH)",N,2460600.5,0.3970,1.863,8.45,133.08,167.84,156.41,929
20001685,"  1685 Toro (1948 OA)",N,2460600.5,0.4361,1.368,9.38,274.21,127.27,196.26,584
20001862,"  1862 Apollo (1932 HA)",Y,2460600.5,0.5599,1.471,6.35,35.56,286.03,252.87,651
20001863,"  1863 Antinous (1948 EA)",N,2460600.5,0.6063,2.261,18.35,346.00,268.57,173.83,1.24e+03
20001864,"  1864 Daedalus (1971 FA)",N,2460600.5,0.6143,1.461,22.21,6.61,325.66,34.28,645
20001865,"  1865 Cerberus (1971 UA)",N,2460600.5,0.4668,1.08,16.10,212.89,325.29,328.39,410
20001866,"  1866 Sisyphus (1972 XA)",N,2460600.5,0.5380,1.894,41.21,63.45,293.12,349.34,952
20001915,"  1915 Quetzalcoatl (1953 EA)",N,2460600.5,0.5703,2.544,20.40,162.93,347.77,284.48,1.48e+03
20001916,"  1916 Boreas (1953 RA)",N,2460600.5,0.4493,2.273,12.88,340.60,335.86,280.05,1.25e+03
20001917,"  1917 Cuyo (1968 AA)",N,2460600.5,0.5057,2.149,23.96,188.28,194.56,34.92,1.15e+03
20001943,"  1943 Anteros (1973 EC)",N,2460600.5,0.2561,1.43,8.71,246.30,338.46,29.90,625
20001980,"  1980 Tezcatlipoca (1950 LA)",N,2460600.5,0.3647,1.71,26.87,246.54,115.51,35.06,817
20001981,"  1981 Midas (1973 EA)",Y,2460600.5,0.6505,1.776,39.82,356.80,267.84,258.81,865
20002059,"  2059 Baboquivari (1963 UA)",N,2460600.5,0.5318,2.642,11.02,200.69,192.45,51.33,1.57e+03
20002061,"  2061 Anza (1960 UA)",N,2460600.5,0.5356,2.265,3.80,207.36,157.09,283.26,1.25e+03
20002062,"  2062 Aten (1976 AA)",N,2460600.5,0.1829,0.967,18.93,108.53,148.06,338.03,347
20002063,"  2063 Bacchus (1977 HB)",N,2460600.5,0.3494,1.078,9.44,33.04,55.34,242.55,409
20002100,"  2100 Ra-Shalom (1978 RA)",N,2460600.5,0.4365,0.832,15.75,170.78,356.08,89.62,277
20002101,"  2101 Adonis (1936 CA)",Y,2460600.5,0.7642,1.874,1.32,349.43,43.69,230.82,937
20002102,"  2102 Tantalus (1975 YA)",Y,2460600.5,0.2993,1.29,64.00,94.35,61.52,78.27,535
20002135,"  2135 Aristaeus (1977 HA)",Y,2460600.5,0.5030,1.6,23.07,191.11,290.97,202.31,739
20002201,"  2201 Oljato (1947 XC)",Y,2460600.5,0.7107,2.179,2.52,74.87,98.37,334.42,1.17e+03
20002202,"  2202 Pele (1972 RA)",N,2460600.5,0.5128,2.291,8.74,169.91,217.99,355.86,1.27e+03
20002212,"  2212 Hephaistos (1978 SB)",N,2460600.5,0.8361,2.166,11.31,27.01,210.05,184.81,1.16e+03
20002329,"  2329 Orthos (1976 WA)",N,2460600.5,0.6533,2.41,24.46,169.28,146.05,325.99,1.37e+03
20002340,"  2340 Hathor (1976 UA)",Y,2460600.5,0.4500,0.8438,5.86,211.29,40.10,53.40,283
20002368,"  2368 Beltrovata (1977 RA)",N,2460600.5,0.4135,2.105,5.22,287.29,43.07,158.64,1.12e+03
20002608,"  2608 Seneca (1978 DA)",N,2460600.5,0.5651,2.532,14.43,166.52,38.59,272.88,1.47e+03
20003102,"  3102 Krok (1981 QA)",N,2460600.5,0.4493,2.151,8.44,172.05,154.77,241.78,1.15e+03
20003103,"  3103 Eger (1982 BB)",N,2460600.5,0.3542,1.404,20.93,129.73,254.12,304.12,608
20003122,"  3122 Florence (1981 ET3)",Y,2460600.5,0.4231,1.769,22.14,336.05,27.90,0.67,859
20003199,"  3199 Nefertiti (1982 RA)",N,2460600.5,0.2842,1.574,32.96,339.98,53.43,78.94,722
20003200,"  3200 Phaethon (1983 TB)",Y,2460600.5,0.8898,1.271,22.31,265.10,322.31,248.98,524
20003271,"  3271 Ul (1982 RB)",N,2460600.5,0.3956,2.102,25.07,158.81,159.08,304.61,1.11e+03
20003288,"  3288 Seleucus (1982 DV)",N,2460600.5,0.4549,2.035,5.93,218.61,349.35,241.11,1.06e+03
20003352,"  3352 McAuliffe (1981 CW)",N,2460600.5,0.3691,1.879,4.77,107.33,16.07,347.84,941
20003360,"  3360 Syrinx (1981 VA)",N,2460600.5,0.7457,2.468,21.14,242.46,63.56,49.58,1.42e+03
20003361,"  3361 Orpheus (1982 HR)",Y,2460600.5,0.3229,1.21,2.66,188.68,302.34,24.54,486
20003362,"  3362 Khufu (1984 QA)",Y,2460600.5,0.4685,0.9895,9.92,152.40,55.09,359.85,360
20003551,"  3551 Verenia (1983 RD)",N,2460600.5,0.4870,2.093,9.51,173.78,193.30,203.09,1.11e+03
20003552,"  3552 Don Quixote (1983 SA)",N,2460600.5,0.7073,4.267,31.06,349.96,316.53,263.48,3.22e+03
20003553,"  3553 Mera (1985 JA)",N,2460600.5,0.3199,1.645,36.78,232.49,288.88,289.71,770
20003554,"  3554 Amun (1986 EB)",N,2460600.5,0.2806,0.974,23.36,358.60,359.42,226.57,351
20003671,"  3671 Dionysus (1984 KD)",Y,2460600.5,0.5420,2.2,13.54,82.05,204.33,131.35,1.19e+03
20003691,"  3691 Bede (1982 FT)",N,2460600.5,0.2844,1.774,20.35,348.70,235.08,345.07,863
20003752,"  3752 Camillo (1985 PA)",N,2460600.5,0.3016,1.414,55.56,147.96,312.22,8.79,614
20003753,"  3753 Cruithne (1986 TO)",N,2460600.5,0.5148,0.9978,19.80,126.19,43.88,308.80,364
20003757,"  3757 Anagolay (1982 XB)",Y,2460600.5,0.4459,1.834,3.87,74.93,17.24,293.70,908
20003838,"  3838 Epona (1986 WA)",N,2460600.5,0.7027,1.505,29.20,235.47,49.72,225.76,674
20003908,"  3908 Nyx (1980 PA)",N,2460600.5,0.4592,1.928,2.19,261.20,126.65,165.71,978
20003988,"  3988 Huma (1986 LA)",N,2460600.5,0.3166,1.545,10.77,229.79,86.91,316.36,701
20004015,"  4015 Wilson-Harrington (1979 VA)",Y,2460600.5,0.6312,2.626,2.80,266.73,95.52,181.75,1.55e+03
20004034,"  4034 Vishnu (1986 PA)",Y,2460600.5,0.4441,1.06,11.17,157.89,296.70,260.40,398
20004055,"  4055 Magellan (1985 DO2)",N,2460600.5,0.3261,1.82,23.25,164.82,154.38,267.34,897
20004179,"  4179 Toutatis (1989 AC)",Y,2460600.5,0.6248,2.543,0.45,125.36,277.88,339.68,1.48e+03
20004183,"  4183 Cuno (1959 LM)",Y,2460600.5,0.6361,1.981,6.67,294.35,237.02,175.91,1.02e+03
20004197,"  4197 Morpheus (1982 TA)",N,2460600.5,0.7724,2.295,12.60,7.01,122.55,357.11,1.27e+03
20004257,"  4257 Ubasti (1987 QA)",N,2460600.5,0.4683,1.647,40.72,169.15,278.94,160.95,772
20004341,"  4341 Poseidon (1987 KF)",N,2460600.5,0.6800,1.834,11.84,108.03,15.83,44.04,907
20004401,"  4401 Aditi (1985 TB)",N,2460600.5,0.5633,2.584,26.63,22.78,68.15,133.50,1.52e+03
20004450,"  4450 Pan (1987 SY)",Y,2460600.5,0.5866,1.443,5.52,311.70,291.94,192.17,633
20004486,"  4486 Mithra (1987 SB)",Y,2460600.5,0.6620,2.205,3.04,82.18,169.12,156.61,1.2e+03
20004487,"  4487 Pocahontas (1987 UA)",N,2460600.5,0.2966,1.73,16.41,198.10,173.99,95.85,831
20004503,"  4503 Cleobulus (1989 WM)",N,2460600.5,0.5247,2.703,2.51,45.94,76.25,287.79,1.62e+03
20004544,"  4544 Xanthus (1989 FB)",N,2460600.5,0.2501,1.042,14.14,23.95,333.83,354.50,388
20004581,"  4581 Asclepius (1989 FC)",Y,2460600.5,0.3570,1.023,4.92,180.20,255.38,212.12,378
20004596,"  4596 (1981 QB)",N,2460600.5,0.5200,2.24,37.07,154.19,248.42,290.19,1.22e+03
20004660,"  4660 Nereus (1982 DB)",Y,2460600.5,0.3587,1.485,1.45,313.11,159.54,191.96,661
20004688,"  4688 (1980 WF)",N,2460600.5,0.5179,2.232,6.38,241.23,213.80,45.35,1.22e+03
20004769,"  4769 Castalia (1989 PB)",Y,2460600.5,0.4832,1.063,8.88,325.51,121.44,324.11,400
20004947,"  4947 Ninkasi (1988 TJ1)",N,2460600.5,0.1685,1.37,15.65,215.43,192.93,144.57,586
20004953,"  4953 (1990 MU)",Y,2460600.5,0.6574,1.621,24.38,77.53,77.93,285.02,754
20004954,"  4954 Eric (1990 SQ)",N,2460600.5,0.4494,2.001,17.43,358.41,52.62,347.92,1.03e+03
20004957,"  4957 Brucemurray (1990 XJ)",N,2460600.5,0.2189,1.565,35.01,254.88,97.48,150.48,715
20005011,"  5011 Ptah (6743 P-L)",Y,2460600.5,0.5001,1.636,7.41,10.63,105.94,173.66,764
