"spkid","full_name","epoch","e","a","i","om","w","ma","per"
20001566,"  1566 Icarus (1949 MA)",2460600.5,0.8270,1.078,22.80,87.95,31.43,160.86,409
20001620,"  1620 Geographos (1951 RA)",2460600.5,0.3356,1.246,13.34,337.15,277.01,289.36,508
20001862,"  1862 Apollo (1932 HA)",2460600.5,0.5599,1.471,6.35,35.56,286.03,252.87,651
20001981,"  1981 Midas (1973 EA)",2460600.5,0.6505,1.776,39.82,356.80,267.84,258.81,865
20002101,"  2101 Adonis (1936 CA)",2460600.5,0.7642,1.874,1.32,349.43,43.69,230.82,937
20002102,"  2102 Tantalus (1975 YA)",2460600.5,0.2993,1.29,64.00,94.35,61.52,78.27,535
20002135,"  2135 Aristaeus (1977 HA)",2460600.5,0.5030,1.6,23.07,191.11,290.97,202.31,739
20002201,"  2201 Oljato (1947 XC)",2460600.5,0.7107,2.179,2.52,74.87,98.37,334.42,1.17e+03
20002340,"  2340 Hathor (1976 UA)",2460600.5,0.4500,0.8438,5.86,211.29,40.10,53.40,283
20003122,"  3122 Florence (1981 ET3)",2460600.5,0.4231,1.769,22.14,336.05,27.90,0.67,859
20003200,"  3200 Phaethon (1983 TB)",2460600.5,0.8898,1.271,22.31,265.10,322.31,248.98,524
20003361,"  3361 Orpheus (1982 HR)",2460600.5,0.3229,1.21,2.66,188.68,302.34,24.54,486
20003362,"  3362 Khufu (1984 QA)",2460600.5,0.4685,0.9895,9.92,152.40,55.09,359.85,360
20003671,"  3671 Dionysus (1984 KD)",2460600.5,0.5420,2.2,13.54,82.05,204.33,131.35,1.19e+03
20003757,"  3757 Anagolay (1982 XB)",2460600.5,0.4459,1.834,3.87,74.93,17.24,293.70,908
20004015,"  4015 Wilson-Harrington (1979 VA)",2460600.5,0.6312,2.626,2.80,266.73,95.52,181.75,1.55e+03
20004034,"  4034 Vishnu (1986 PA)",2460600.5,0.4441,1.06,11.17,157.89,296.70,260.40,398
20004179,"  4179 Toutatis (1989 AC)",2460600.5,0.6248,2.543,0.45,125.36,277.88,339.68,1.48e+03
20004183,"  4183 Cuno (1959 LM)",2460600.5,0.6361,1.981,6.67,294.35,237.02,175.91,1.02e+03
20004450,"  4450 Pan (1987 SY)",2460600.5,0.5866,1.443,5.52,311.70,291.94,192.17,633
20004486,"  4486 Mithra (1987 SB)",2460600.5,0.6620,2.205,3.04,82.18,169.12,156.61,1.2e+03
20004581,"  4581 Asclepius (1989 FC)",2460600.5,0.3570,1.023,4.92,180.20,255.38,212.12,378
20004660,"  4660 Nereus (1982 DB)",2460600.5,0.3587,1.485,1.45,313.11,159.54,191.96,661
20004769,"  4769 Castalia (1989 PB)",2460600.5,0.4832,1.063,8.88,325.51,121.44,324.11,400
